member_name,size_bytes,type
GSM7846603_FibroWalitt101.txt.gz,117471,file
GSM7846604_FibroWalitt110.txt.gz,116134,file
GSM7846605_FibroWalitt112.txt.gz,116979,file
GSM7846606_FibroWalitt113.txt.gz,116424,file
GSM7846607_FibroWalitt115.txt.gz,117084,file
GSM7846608_FibroWalitt117.txt.gz,116829,file
GSM7846609_FibroWalitt119.txt.gz,116962,file
GSM7846610_FibroWalitt120.txt.gz,117653,file
GSM7846611_FibroWalitt121.txt.gz,115727,file
GSM7846612_FibroWalitt122.txt.gz,117615,file
GSM7846613_FibroWalitt123.txt.gz,115276,file
GSM7846614_FibroWalitt124.txt.gz,116687,file
GSM7846615_FibroWalitt302.txt.gz,115723,file
GSM7846616_FibroWalitt305.txt.gz,114011,file
GSM7846617_FibroWalitt310.txt.gz,117977,file
GSM7846618_FibroWalitt311.txt.gz,116986,file
GSM7846619_FibroWalitt312.txt.gz,117123,file
GSM7846620_FibroWalitt313.txt.gz,116869,file
GSM7846621_FibroWalitt316.txt.gz,117181,file
GSM7846622_FibroWalitt319.txt.gz,116592,file
GSM7846623_FibroWalitt320.txt.gz,116050,file
GSM7846624_FibroWalitt322.txt.gz,115917,file
GSM7846625_FibroWalitt323.txt.gz,117403,file
GSM7846626_FibroWalitt324.txt.gz,116281,file
GSM7846627_FibroWalitt325.txt.gz,116098,file
