local_path,byte_size,format
datasets/harmonized/GSE214284_archive_inventory.csv,7777,CSV
datasets/harmonized/GSE214284_sample_metadata.csv,286510,CSV
datasets/harmonized/GSE245661_archive_inventory.csv,1153,CSV
datasets/harmonized/GSE245661_counts_wide.csv.gz,554155,CSV.GZ
datasets/harmonized/GSE245661_duplicate_row_log.csv,1335,CSV
datasets/harmonized/GSE245661_sample_metadata.csv,35628,CSV
datasets/harmonized/GSE251790_CSF_SOMAscan_adat_header.csv,2071,CSV
datasets/harmonized/GSE251790_CSF_SOMAscan_assay_metadata.csv,152104,CSV
datasets/harmonized/GSE251790_CSF_SOMAscan_geo_sample_metadata.csv,61905,CSV
datasets/harmonized/GSE251790_CSF_SOMAscan_measurements_wide.csv.gz,176542,CSV.GZ
datasets/harmonized/GSE251790_CSF_SOMAscan_sample_metadata.csv,8219,CSV
datasets/harmonized/GSE251792_archive_inventory.csv,2233,CSV
datasets/harmonized/GSE251792_sample_metadata.csv,196207,CSV
datasets/harmonized/GSE251872_archive_inventory.csv,1108,CSV
datasets/harmonized/GSE251872_counts_wide.csv.gz,1125514,CSV.GZ
datasets/harmonized/GSE251872_duplicate_row_log.csv,1325,CSV
datasets/harmonized/GSE251872_sample_metadata.csv,37762,CSV
datasets/harmonized/GSE254030_plasma_SOMAscan_adat_header.csv,50965,CSV
datasets/harmonized/GSE254030_plasma_SOMAscan_assay_metadata.csv,150711,CSV
datasets/harmonized/GSE254030_plasma_SOMAscan_geo_sample_metadata.csv,61359,CSV
datasets/harmonized/GSE254030_plasma_SOMAscan_measurements_wide.csv.gz,210458,CSV.GZ
datasets/harmonized/GSE254030_plasma_SOMAscan_sample_metadata.csv,9775,CSV
datasets/harmonized/zenodo_dti_onset_12791948__DTI_Data_sharing__Demographics__MECFS-GO.csv,5815,CSV
datasets/harmonized/zenodo_dti_onset_12791948__DTI_Data_sharing__Demographics__MECFS-GO_all_eligible.csv,8539,CSV
datasets/harmonized/zenodo_dti_onset_12791948__DTI_Data_sharing__Demographics__MECFS-PI.csv,7505,CSV
datasets/harmonized/zenodo_dti_onset_12791948__DTI_Data_sharing__Demographics__MECFS-PI_all_eligible.csv,8749,CSV
datasets/harmonized/zenodo_dti_onset_12791948__archive_inventory.csv,89651,CSV
datasets/harmonized/zenodo_nii_dti_16916830__Demographics__MECFS.csv,11734,CSV
datasets/harmonized/zenodo_nii_dti_16916830__archive_inventory.csv,113196,CSV
datasets/harmonized/zenodo_rrf_19078496__Demographics__MECFS.csv,14049,CSV
datasets/harmonized/zenodo_rrf_19078496__archive_inventory.csv,48835,CSV
